item,category,product_name,variant_or_spec,role,status,quantity,unit_cost_usd,line_total_usd,included_in_funding_total,purchase_url,official_spec_url,price_status,notes,price_checked
1,Airframe,ZD850 carbon-fiber hexacopter frame kit,850 mm frame-only kit with carbon-fiber landing gear,Six-motor airframe,Buy,1,98.00,98.00,Yes,https://www.aliexpress.us/item/3256811387463385.html,https://www.aliexpress.us/item/3256811387463385.html,User listing estimate,Select the frame-kit option. Verify motor-plate hole pattern and delivered weight before buying propulsion.,2026-07-13
2,Propulsion,SunnySky X4112S brushless motor,340KV,Hexacopter propulsion,Buy,7,52.99,370.93,Yes,https://sunnyskyusa.com/products/x4212s,https://sunnyskyusa.com/products/x4212s,Verified official price,Six flight motors plus one spare. Full purchase follows one-motor thrust testing and measured all-up mass of 6.0 kg or less.,2026-07-13
3,Propulsion,Hobbywing XRotor Pro 40A ESC dual pack,Wire-leaded; 3S to 6S; 40A continuous / 60A peak,Motor control,Buy,4,49.99,199.96,Yes,https://www.hobbywingdirect.com/products/xrotor-pro-40a-esc,https://www.hobbywingdirect.com/products/xrotor-pro-40a-esc,Verified official price,Four dual packs provide six flight ESCs and two spares. Use documented PWM input.,2026-07-13
4,Propulsion,SunnySky EOLO carbon-reinforced nylon propeller pair,15 x 5.5 inch; one CW and one CCW per pair,Propellers,Buy,4,17.99,71.96,Yes,https://sunnyskyusa.com/collections/multirotor-propellers/products/eolo-cn15-5-5-prop,https://sunnyskyusa.com/collections/multirotor-propellers/products/eolo-cn15-5-5-prop,Verified official price,Three flight pairs plus one spare pair. Verify adjacent-tip clearance and hub fit before operation.,2026-07-13
5,Autopilot,Holybro Pixhawk 6C,Plastic case; no PM02/PM06/PM07 power module,Flight controller,Buy,1,165.99,165.99,Yes,https://holybro.com/products/pixhawk-6c,https://docs.holybro.com/autopilot/pixhawk-6c,Verified official price,The main propulsion feed must bypass PM02. Use PDB-HEX sensing and a correctly wired POWER1 harness.,2026-07-13
6,Navigation,Holybro M10 GPS,IST8310 magnetometer; standard 10-pin connector,GPS and compass,Buy,1,43.99,43.99,Yes,https://holybro.com/products/m10-gps,https://holybro.com/products/m10-gps,Verified official price,Includes the fixed carbon-fiber GPS mount and plugs into the Pixhawk 6C GPS1 port.,2026-07-13
7,Power,Matek PDB-HEX power distribution board,2S to 12S; 140A continuous; six ESC outputs,Main power distribution and current sensing,Buy,1,26.16,26.16,Yes,https://www.ebay.com/itm/358431439540,https://www.mateksys.com/?portfolio=pdb-hex,Marketplace price snapshot,Source from a reputable seller and verify authenticity. ArduPilot BATT_AMP_PERVLT is documented as 80 by Matek.,2026-07-13
8,Power,Holybro UBEC 5A,3S to 14S; configure for 5.2V output,Independent regulated power rails,Buy,2,20.99,41.98,Yes,https://holybro.com/products/ubec-5a-3-14s,https://holybro.com/products/ubec-5a-3-14s,Verified official price,Use one rail for Pixhawk backup power and one dedicated rail for the Raspberry Pi. Do not power the Pi from the flight controller.,2026-07-13
9,RC Control,RadioMaster Pocket Radio Controller M2,2.4GHz ExpressLRS; FCC region,Pilot control and manual override,Buy,1,71.50,71.50,Yes,https://radiomasterrc.com/products/pocket-radio-controller-m2,https://radiomasterrc.com/products/pocket-radio-controller-m2,Verified official price,Use a legally compliant output-power setting for the operating location.,2026-07-13
10,RC Control,RadioMaster RP1 V2 ExpressLRS receiver,2.4GHz; FCC region,Aircraft RC receiver,Buy,1,18.99,18.99,Yes,https://www.radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver,https://www.radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver,Verified official price,Connect to a Pixhawk UART using CRSF and configure RC-loss failsafes before propeller testing.,2026-07-13
